	round_number	emotion	text_id	timestamp	prolific_id	anger	boredom	disgust	fear	guilt	joy	pride	relief	sadness	shame	surprise	trust	generated_text	hidden_emo_text	event_duration	emotion_duration	intensity	confidence	suddenness	familiarity	predict_event	pleasantness	unpleasantness	goal_relevance	chance_responsblt	self_responsblt	other_responsblt	predict_conseq	goal_support	urgency	self_control	other_control	chance_control	accept_conseq	standards	social_norms	attention	not_consider	effort	previous_participation	age	gender	education	ethnicity	extravert	critical	dependable	anxious	open	quiet	sympathetic	disorganized	calm	conventional	did_you_lie?	original_demographics
3774	round-4	pride	41185	2021/09/20 12:59:41 am EET	7482fd676a506a4b6bb13d8893411d09	1	2	1	1	1	3	3	2	1	1	1	3	I participated in a pride event with my gay friend	I participated in a pride event with my gay friend	hours	hours	3	4	3	1	5	5	1	1	1	1	1	5	3	2	3	5	1	5	1	1	5	1	2	No, I participated before and answered the next set of questions.	25	Male	High school	European	5.0	5.0	6.0	5.0	5.0	5.0	4.0	4.0	5.0	3.0	--	COPIED FROM: text id 41295
6195	round-4	trust	41849	2021/09/20 2:03:43 am EET	08b6ee3a8bbb21c6032fece716abfd48	1	1	1	1	1	2	1	1	1	1	1	1	my friend trusted me by telling a secret about his personal life that he felt strongly about	my friend ... me by telling a secret about his personal life that he felt strongly about	minutes	hours	4	4	3	3	1	3	3	4	4	3	4	2	3	3	1	4	4	3	3	3	4	2	4	No, I participated before and answered the next set of questions.	21	Male	High school	South Asian	4.0	2.5	5.0	2.5	6.0	5.0	4.0	3.5	5.0	4.0	--	AVERAGED: text id 4609, 41724
301	round-5	anger	529	2021/10/06 1:32:49 pm EET	0c1c88a55d71c3022ccc3e0c5b16cdec	1	1	1	2	2	4	3	1	1	1	1	4	I felt anger when my housemate kept me up at night.	I felt ... when my housemate kept me up at night.	minutes	minutes	3	5	2	5	5	1	5	1	3	1	5	4	1	1	3	4	1	4	2	1	3	4	2	Yes, first time, I will answer the following questions.	25	Female	Undergraduate degree (BA/BSc/other)	European	6.0	3.0	5.0	6.0	7.0	1.0	6.0	3.0	5.0	2.0	The event really happened in my life.	ORIGINAL
1333	round-4	disgust	4402	2021/09/20 1:17:05 am EET	473cb889d5251e5d1db3426994eff442	1	2	1	1	1	1	1	1	1	1	1	1	A friend told me their friend as a kid used to take lizards and break their arms and legs and then stick the alive broken lizards in ant piles to be eaten alive. Also taking them and putting them on paper boats and letting them go on a lake but before that, lighting the paper boat on fire. Or putting them in a metal can with rocks and filling it with water and dropping the cans in a lake.	A friend told me their friend as a kid used to take lizards and break their arms and legs and then stick the alive broken lizards in ant piles to be eaten alive. Also taking them and putting them on paper boats and letting them go on a lake but before that, lighting the paper boat on fire. Or putting them in a metal can with rocks and filling it with water and dropping the cans in a lake.	weeks	minutes	5	4	3	1	1	1	5	1	1	1	5	1	1	1	1	4	1	1	5	4	3	5	2	No, I participated before and answered the next set of questions.	22	Female	High school	European	2.0	5.0	6.0	6.0	5.0	7.0	5.0	1.0	4.0	1.0	--	COPIED FROM: text id 41449
449	round-5	anger	5135	2021/10/06 3:38:24 pm EET	f20da0bdcba5f881a113f78685409535	3	2	1	1	1	3	1	1	1	1	1	1	when my friends didn't invite me somewhere but invited everyone else.	when my friends didn't invite me somewhere but invited everyone else.	hours	days	4	5	4	4	2	1	5	3	1	1	5	3	1	3	1	5	1	3	5	1	5	4	4	No, I participated before and answered the next set of questions.	23	Female	Graduate degree (MA/MSc/MPhil/other)	European	4.0	5.0	4.0	5.0	7.0	5.0	4.0	1.0	7.0	4.0	The event really happened in my life.	COPIED FROM: text id 51596
3388	round-5	no-emotion	51525	2021/10/06 5:35:31 pm EET	75ff2441794c680313a00fc96c8aa1fa	1	3	1	1	1	2	2	2	1	1	1	1	I had To go sick from work	I had To go sick from work	days	minutes	2	5	5	1	1	1	4	1	5	1	1	3	4	5	2	1	5	1	1	2	4	3	4	No, I participated before and answered the next set of questions.	36	Female	Graduate degree (MA/MSc/MPhil/other)	European	6.0	6.0	5.0	6.0	7.0	5.0	6.0	3.0	5.0	5.0	The event really happened in my life.	COPIED FROM: text id 5535
1160	round-3	disgust	3258	2021/09/03 5:24:58 pm EET	c2bdfbcff7b28b7dde3d44cc4e7dccca	1	1	1	1	1	1	1	1	1	1	1	1	i discovered a family member taking advantage of my mum	i discovered a family member taking advantage of my mum	weeks	weeks	5	5	3	3	4	1	5	3	1	1	5	5	1	4	1	5	1	1	5	5	5	4	4	No, I participated before and answered the next set of questions.	52	Female	Undergraduate degree (BA/BSc/other)	white british	4.0	5.0	5.0	5.0	4.0	3.0	5.0	2.0	4.0	2.0	--	COPIED FROM: text id 3175
1879	round-4	fear	4590	2021/09/20 1:56:47 am EET	f954e0453ab73867837d608461f49ad3	5	1	5	5	1	1	1	1	5	3	5	2	I anticipated the end of a relationship.	I anticipated the end of a relationship.	days	days	5	5	5	1	1	1	5	3	1	3	5	1	1	5	1	5	3	1	5	1	5	5	5	No, I participated before and answered the next set of questions.	32	Male	High school	North American	3.0	5.0	6.0	5.0	5.0	7.0	7.0	5.0	5.0	6.0	--	COPIED FROM: text id 4414
2020	round-5	fear	5905	2021/10/06 1:58:54 pm EET	bf317ff061957293b615bf57c815ce99	1	2	1	1	1	1	1	1	1	1	1	1	I was mugged the day before my mock GCSE exams	I was mugged the day before my mock GCSE exams	minutes	minutes	5	5	5	1	1	1	5	4	1	1	5	1	1	5	2	5	1	5	5	5	5	5	5	No, I participated before and answered the next set of questions.	37	Male	High school	European	5.0	4.3	2.7	4.3	5.0	5.3	5.0	5.0	4.0	4.3	The event really happened in my life.	AVERAGED: text id 51087, 51118, 52139
6061	round-2	trust	2221	2021/07/19 7:37:15 pm EET	f3ff2b8aa9b422b423be0cf293538ad4	1	2	1	1	1	2	1	1	1	1	1	3	a partner saw me naked	a partner saw me naked	minutes	weeks	5	4	1	1	4	5	1	5	2	3	3	4	4	4	5	4	1	4	1	1	5	1	2	Yes, first time, I will answer the following questions.	23	Female	Undergraduate degree (BA/BSc/other)	European	6.0	3.0	7.0	2.0	7.0	3.0	7.0	2.0	7.0	6.0	--	ORIGINAL
6120	round-3	trust	31328	2021/09/03 11:06:52 pm EET	69e5a4daaea76d2e958c8b154bc97179	1	3	1	1	1	2	2	3	3	1	1	2	i was having a bad day and my partner decided to surprise me with a date, i didn’t know what was happening and was quite concerned that he was making me drive somewhere with him so late. before we drove out, he gave me a self care night with a bubble bath, massages and cuddles, he chose my outfit and took me to a 24 hour restaurant where he proposed. i felt trust that he would always make sure i felt happy and loved and safe with him, even on my worst days.	i was having a bad day and my partner decided to surprise me with a date, i didn’t know what was happening and was quite concerned that he was making me drive somewhere with him so late. before we drove out, he gave me a self care night with a bubble bath, massages and cuddles, he chose my outfit and took me to a 24 hour restaurant where he proposed. i felt ... that he would always make sure i felt happy and loved and safe with him, even on my worst days.	hours	weeks	4	5	3	3	2	5	1	3	1	2	5	1	3	3	4	4	1	4	1	1	3	1	3	Yes, first time, I will answer the following questions.	18	Female	High school	European	2.0	4.0	3.0	6.0	6.0	6.0	6.0	5.0	5.0	4.0	--	ORIGINAL
5910	round-5	surprise	52620	2021/10/06 6:30:27 pm EET	18578f5982df6ba4c56c9b1ce0702d9d	1	2	1	1	1	1	1	1	1	1	1	1	As I was entering a romantic relationship with a coworker I had known for 10 years. I discovered that the persona they presented at work had hidden or mislead about important elements of who they were. A pleasant surprise in this case.	As I was entering a romantic relationship with a coworker I had known for 10 years. I discovered that the persona they presented at work had hidden or mislead about important elements of who they were. A pleasant ... in this case.	days	minutes	5	5	3	1	1	5	1	5	4	1	5	3	4	3	2	4	1	5	1	1	3	1	4	No, I participated before and answered the next set of questions.	57	Female	High school	North American	2.0	1.0	7.0	2.0	4.0	7.0	7.0	2.0	7.0	6.0	The event really happened in my life.	COPIED FROM: text id 5501
3060	round-3	no-emotion	3764	2021/09/03 10:15:21 pm EET	33d817e01706c19e3f4688597ef020b3	1	3	1	1	1	1	1	1	1	1	1	1	I did an online training course for my job about the coronavirus.	I did an online training course for my job about the coronavirus.	minutes	I had none	1	4	1	2	3	2	1	2	1	3	3	3	2	3	4	2	2	3	2	1	3	1	2	Yes, first time, I will answer the following questions.	22	Female	Undergraduate degree (BA/BSc/other)	European	2.0	2.0	6.0	5.0	6.0	6.0	6.0	2.0	6.0	2.0	--	ORIGINAL
1143	round-3	disgust	3353	2021/09/03 5:54:47 pm EET	bebd16a8eff974e5e3d0373c6e219488	1	3	1	1	2	3	2	2	1	1	1	3	I felt disgust when I hear about the unethical practices done by large corporations for the sake of money.	I felt ... when I hear about the unethical practices done by large corporations for the sake of money.	weeks	hours	4	4	2	3	5	1	5	3	4	1	5	5	3	4	1	5	1	4	5	5	4	4	4	Yes, first time, I will answer the following questions.	24	Male	Graduate degree (MA/MSc/MPhil/other)	Middle Eastern	5.0	4.0	5.0	2.0	5.0	4.0	5.0	2.0	6.0	5.0	--	ORIGINAL
2071	round-5	fear	5958	2021/10/06 3:55:56 pm EET	537d5a1eaab9f6db997a1d49720b79d7	1	3	1	1	1	1	3	1	1	1	1	1	When I went into labour with my children	When I went into labour with my children	hours	hours	5	5	4	4	5	3	3	4	1	5	4	4	4	4	4	2	1	4	1	1	5	1	5	Yes, first time, I will answer the following questions.	32	Female	Undergraduate degree (BA/BSc/other)	South American	5.0	2.0	6.0	3.0	5.0	5.0	6.0	5.0	6.0	3.0	The event really happened in my life.	ORIGINAL
2811	round-5	joy	51150	2021/10/06 2:00:44 pm EET	e28940fc02522c9e872d1cd60a08a529	1	1	1	1	1	1	1	1	1	1	1	4	Spending time with my family	Spending time with my family	hours	hours	5	5	1	5	5	5	1	1	1	5	5	5	5	1	5	5	1	5	1	1	1	1	1	No, I participated before and answered the next set of questions.	32	Female	High school	European	1.0	5.0	3.0	7.0	5.0	7.0	7.0	6.0	3.0	2.0	The event really happened in my life.	COPIED FROM: text id 5817
622	round-3	boredom	3161	2021/09/03 5:06:40 pm EET	4048f07337761a87d47c5caa710b3613	1	3	1	1	1	4	4	5	2	1	4	4	I felt boredom whilst working on my finances	I felt ... whilst working on my finances	minutes	minutes	2	5	3	5	4	2	3	2	1	4	1	2	3	4	4	1	1	3	3	4	4	3	3	Yes, first time, I will answer the following questions.	31	Male	Undergraduate degree (BA/BSc/other)	European	3.0	2.0	6.0	2.0	5.0	7.0	6.0	1.0	5.0	4.0	--	ORIGINAL
2747	round-5	joy	51200	2021/10/06 2:24:17 pm EET	7f501143c209868e51b449fb0a6dac73	1	2	1	1	2	1	1	2	1	1	1	2	I gave my son a bath last night and we had a lovely chat. He was so happy and chatty it made me smile and be grateful that I have this time with him. It made me joyful and happy.	I gave my son a bath last night and we had a lovely chat. He was so happy and chatty it made me smile and be grateful that I have this time with him. It made me ... and ....	minutes	hours	4	5	1	5	5	5	1	2	1	2	3	3	2	1	4	4	1	5	1	1	3	1	3	No, I participated before and answered the next set of questions.	42	Female	Graduate degree (MA/MSc/MPhil/other)	European	3.0	3.0	5.0	3.0	5.0	5.0	5.0	3.0	5.0	2.0	The event really happened in my life.	COPIED FROM: text id 5267
2597	round-4	joy	4787	2021/09/20 12:49:43 am EET	cbc314a699457bb6b33270f2d8c06142	1	3	1	1	1	2	2	2	1	1	1	1	I got to adopt a puppy	I got to adopt a puppy	minutes	weeks	4	5	2	2	1	5	1	4	1	5	1	2	4	4	5	1	1	4	1	1	4	1	4	No, I participated before and answered the next set of questions.	27	Female	High school	White	1.0	6.0	3.0	7.0	5.0	7.0	7.0	6.0	2.0	3.0	--	COPIED FROM: text id 493
3173	round-4	no-emotion	4912	2021/09/20 1:39:19 am EET	b52412ca7d1f28f185906ecdfce0c288	1	3	1	1	1	1	1	1	3	3	1	3	Because I won a trophy from work.	Because I won a trophy from work.	weeks	seconds	1	5	4	2	1	1	5	4	1	1	5	5	3	4	4	4	1	5	5	1	2	5	5	No, I participated before and answered the next set of questions.	26	Male	Undergraduate degree (BA/BSc/other)	North American	5.0	5.0	6.0	6.0	2.0	7.0	3.0	4.0	7.0	3.0	--	COPIED FROM: text id 4375
4769	round-3	sadness	31063	2021/09/03 10:24:21 pm EET	2c0dcf6ab7c40921f0150f31ce6f5182	1	3	1	1	1	3	3	3	1	1	1	3	when I was told my dog was really ill	when I was told my dog was really ill	minutes	weeks	5	5	4	1	2	1	5	5	5	1	1	1	1	5	1	1	5	1	5	1	5	5	5	No, I participated before and answered the next set of questions.	18	Female	Don't know / not applicable	European	6.0	6.0	6.0	2.0	6.0	2.0	5.0	2.0	4.0	2.0	--	COPIED FROM: text id 3627
3453	round-5	no-emotion	51451	2021/10/06 5:31:55 pm EET	7ccc925617b524fb0ba6a60b1ad243ad	1	1	1	1	1	3	1	1	1	1	1	4	My husband was watching sports on our tv	My husband was watching sports on our tv	hours	hours	1	5	1	5	5	3	3	1	1	1	5	5	1	1	1	5	1	5	1	1	1	2	1	Yes, first time, I will answer the following questions.	33	Female	Don't know / not applicable	European	6.0	6.0	7.0	7.0	5.0	3.0	6.0	1.0	1.0	5.0	The event really happened in my life.	ORIGINAL
5759	round-4	surprise	41697	2021/09/20 12:31:35 am EET	60fa63d2a233e052c96d755a0da0378b	2	3	2	2	2	3	4	4	1	1	3	4	a lot of my friends showed up for my birthday	a lot of my friends showed up for my birthday	minutes	minutes	5	5	3	4	3	4	2	3	4	4	2	2	4	4	3	3	4	3	3	3	4	2	5	Yes, first time, I will answer the following questions.	36	Male	Graduate degree (MA/MSc/MPhil/other)	European	4.0	3.0	6.0	2.0	5.0	6.0	4.0	5.0	5.0	3.0	--	ORIGINAL
1329	round-4	disgust	4437	2021/09/20 1:43:14 am EET	7b127119b469019d03283e38449b2045	1	3	1	1	1	2	1	1	1	1	1	1	i felt disgust when i was out and i got catcalled from a man who then proceeded to follow me whilst sexualizing me and when asked to stop then carried on like it meant nothing that he was making me feel uncomfortable.	i felt ... when i was out and i got catcalled from a man who then proceeded to follow me whilst sexualizing me and when asked to stop then carried on like it meant nothing that he was making me feel uncomfortable.	minutes	hours	5	5	5	4	2	1	5	2	1	1	5	3	1	5	2	5	2	2	5	5	5	5	4	No, I participated before and answered the next set of questions.	19	Female	Undergraduate degree (BA/BSc/other)	Middle Eastern	6.0	4.0	7.0	3.0	7.0	4.0	7.0	1.0	3.0	6.0	--	COPIED FROM: text id 4938
429	round-5	anger	5173	2021/10/06 3:40:35 pm EET	73c325c3ee4adc039b5dfd2ee2759260	1	2	1	1	2	3	3	3	1	1	1	1	I think about the government, and how I feel that they are running the country	I think about the government, and how I feel that they are running the country	weeks	minutes	3	3	1	1	1	1	5	5	5	1	1	3	1	1	1	5	5	4	4	4	5	5	4	Yes, first time, I will answer the following questions.	35	Female	High school	European	7.0	5.0	5.0	3.0	5.0	3.0	4.0	3.0	4.0	4.0	The event really happened in my life.	ORIGINAL
3341	round-5	no-emotion	51382	2021/10/06 2:58:40 pm EET	88901e5345854244e540f777f5716507	1	1	1	1	1	3	1	1	1	1	1	1	I went to Sainsbury’s for a top up shop recently for things I had forgotten on my online shop	I went to Sainsbury’s for a top up shop recently for things I had forgotten on my online shop	minutes	I had none	1	5	1	5	5	5	1	1	1	5	1	5	3	1	5	1	1	3	1	1	3	1	3	No, I participated before and answered the next set of questions.	36	Female	Graduate degree (MA/MSc/MPhil/other)	European	4.0	2.0	7.0	6.0	4.0	5.0	7.0	4.0	4.0	5.0	The event really happened in my life.	COPIED FROM: text id 5780
5650	round-4	surprise	41618	2021/09/20 2:13:54 am EET	51e0d7c1c250f9d59ee8417cded48c6c	2	3	2	1	1	2	1	2	1	1	1	1	I felt surprise when I learnt how to cook a new dish and I got it on the first trial	I felt ... when I learnt how to cook a new dish and I got it on the first trial	hours	minutes	3	5	4	2	4	5	2	4	4	3	1	3	4	3	3	1	1	1	1	2	5	4	2	No, I participated before and answered the next set of questions.	38	Male	Graduate degree (MA/MSc/MPhil/other)	White	5.0	3.0	6.0	5.0	6.0	6.0	4.0	2.0	5.0	1.0	--	COPIED FROM: text id 4112
5519	round-3	surprise	31272	2021/09/03 9:39:45 pm EET	16e807b210cd7b34e0a5ee1d86b431ae	1	4	1	1	1	3	3	3	1	1	1	4	I felt surprise when I qualified for Team Alberta as a competitive level 8 gymnast because I was not expecting my scores to be enough to qualify.	I felt ... when I qualified for Team Alberta as a competitive level 8 gymnast because I was not expecting my scores to be enough to qualify.	minutes	hours	4	5	3	2	1	5	1	3	2	2	2	1	3	3	1	1	2	3	1	1	2	1	3	Yes, first time, I will answer the following questions.	18	Female	High school	European	6.0	5.0	7.0	5.0	5.0	5.0	7.0	3.0	5.0	5.0	--	ORIGINAL
1228	round-4	disgust	4390	2021/09/20 12:20:20 am EET	38b63d598afab138fa330ce128922e22	1	2	1	1	1	2	2	2	1	1	1	2	I felt disgust when I last weighed myself	I felt ... when I last weighed myself	seconds	days	5	5	5	5	5	1	5	2	2	5	1	5	1	2	2	1	1	5	5	1	5	5	3	No, I participated before and answered the next set of questions.	25	Female	Undergraduate degree (BA/BSc/other)	English	5.0	4.0	3.0	6.0	5.0	6.0	6.0	2.0	4.0	3.0	--	COPIED FROM: text id 4129
374	round-5	anger	5204	2021/10/06 3:25:34 pm EET	3c88e367f42e666466087bbba9933da8	3	1	2	1	2	4	2	4	1	2	4	5	I felt angry few days back when my car engine got stucked on my way to work. I couldn't  do anything because  there was no car servicing personnel  around that area.	I felt ... few days back when my car engine got stucked on my way to work. I couldn't  do anything because  there was no car servicing personnel  around that area.	hours	hours	5	5	5	4	1	1	5	4	4	3	1	3	4	5	5	3	4	2	4	1	5	5	5	No, I participated before and answered the next set of questions.	39	Male	Graduate degree (MA/MSc/MPhil/other)	North American	6.0	4.0	7.0	2.0	7.0	6.0	7.0	1.0	7.0	4.0	The event really happened in my life.	COPIED FROM: text id 5539
586	round-3	boredom	3234	2021/09/03 5:24:16 pm EET	dffb672e5648340cb809aa720b5b9b84	1	4	1	1	2	2	3	4	1	1	1	4	my child wanted me to play the same game with him for the umpteenth time.	my child wanted me to play the same game with him for the umpteenth time.	minutes	seconds	2	5	1	5	5	4	2	1	2	3	5	4	2	4	4	5	1	5	3	1	4	3	1	Yes, first time, I will answer the following questions.	39	Female	Undergraduate degree (BA/BSc/other)	European	5.0	2.0	7.0	6.0	7.0	7.0	7.0	6.0	6.0	2.0	--	ORIGINAL
6391	round-5	trust	52713	2021/10/06 4:02:30 pm EET	36bb7162e6f595ee230f499524a9d843	1	2	1	1	1	1	1	1	1	1	1	1	MY COLLEAGUES RISK THEIR LIFE FOR ME AND THE PUBLIC EVERYDAY	MY COLLEAGUES RISK THEIR LIFE FOR ME AND THE PUBLIC EVERYDAY	weeks	weeks	4	4	2	4	4	4	1	5	4	4	5	4	5	4	4	4	2	3	1	4	4	1	2	No, I participated before and answered the next set of questions.	27	Female	High school	European	4.0	5.0	6.0	5.0	6.0	2.0	5.0	5.0	4.0	4.0	The event really happened in my life.	COPIED FROM REJECTED: text id 5385
