Utterance,suddenness,familiarity,predict_event,pleasantness,unpleasantness,goal_relevance,chance_responsblt,self_responsblt,other_responsblt,predict_conseq,goal_support,urgency,self_control,other_control,chance_control,accept_conseq,standards,social_norms,attention,not_consider,effort,Speaker,Emotion,Scene_ID,Utterance_ID,Season,Episode,Start_Time,End_Time
"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",3.1755964756011963,3.4959065914154053,3.697798728942871,2.254680871963501,4.020962715148926,3.088266372680664,2.3692867755889893,2.8551344871520996,3.7662789821624756,3.5523829460144043,2.61977481842041,3.2294225692749023,3.0462164878845215,3.9821252822875977,2.39507794380188,3.432729959487915,3.128955602645874,2.0245134830474854,3.710834264755249,3.123060464859009,3.5424880981445312,['Ross Geller'],Scared,2,1,1,2,00:02:05.333,00:02:11.088
"Well, she has issues.",3.4320337772369385,3.0615758895874023,3.2989342212677,1.8371819257736206,4.462717533111572,3.360572099685669,2.586977958679199,2.725295305252075,3.6799933910369873,3.3756186962127686,2.1700124740600586,3.4579904079437256,2.73274564743042,3.8103737831115723,2.572699785232544,3.235940456390381,3.4289708137512207,2.2669291496276855,4.0185933113098145,3.3857269287109375,3.860466718673706,['Marsha'],Sad,2,2,1,2,00:02:07.418,00:02:11.088
Does she.,2.9780614376068115,3.4110023975372314,3.712406635284424,2.7029504776000977,3.694794178009033,3.27327561378479,2.315690279006958,3.057307481765747,3.684638500213623,3.6342146396636963,2.926812171936035,3.3113439083099365,3.0776336193084717,3.908371925354004,2.3114771842956543,3.540590286254883,2.933457374572754,1.980269193649292,3.9441640377044678,2.9254777431488037,3.558375597000122,['Ross Geller'],Scared,2,3,1,2,00:02:11.297,00:02:13.006
"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",3.607666254043579,2.901501417160034,2.808135509490967,1.2849812507629395,4.476603984832764,2.381486654281616,1.8041809797286987,1.6606501340866089,4.693373680114746,2.9326491355895996,1.5347051620483398,3.063957691192627,2.2690868377685547,4.3984880447387695,1.84245765209198,3.0489227771759033,4.079983234405518,3.048147439956665,3.39853835105896,3.3555209636688232,3.180781364440918,['Marsha'],Mad,2,4,1,2,00:02:14.717,00:02:22.683
"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",3.662400245666504,3.0261423587799072,3.1469109058380127,2.1249139308929443,4.174383640289307,3.180687427520752,2.956340789794922,2.1927857398986816,3.9010205268859863,3.2785086631774902,2.3350486755371094,3.432692050933838,2.419952630996704,4.035405158996582,2.9911513328552246,3.277381658554077,3.064127206802368,2.1675522327423096,4.031174182891846,3.1738650798797607,3.657289505004883,['Ross Geller'],Neutral,2,5,1,2,00:02:22.934,00:02:33.569
"Speaking of issues, isn't that your ex-wife?",3.707421064376831,2.800386905670166,2.8351314067840576,1.3596947193145752,4.472837448120117,2.8653390407562256,1.9994959831237793,1.7888468503952026,4.515618324279785,3.0041916370391846,1.6766859292984009,3.2283432483673096,2.2349460124969482,4.417384147644043,2.0682966709136963,2.9055027961730957,4.008429527282715,2.8664376735687256,3.666282892227173,3.363081932067871,3.5929322242736816,['Marsha'],Mad,2,6,1,2,00:02:33.778,00:02:35.863
No. No.,3.00797700881958,3.4135687351226807,3.7358100414276123,2.5175464153289795,3.926414966583252,3.3959035873413086,2.3765947818756104,3.163386583328247,3.387899160385132,3.7324976921081543,2.7680888175964355,3.261571168899536,3.064669609069824,3.7678754329681396,2.469973564147949,3.473477840423584,2.987123489379883,1.9639432430267334,3.968552589416504,2.9991273880004883,3.6658644676208496,['Ross Geller'],Scared,2,8,1,2,00:02:36.072,00:02:38.740
"Yes, it is. Carol! Hi!",2.922764778137207,3.4071691036224365,3.715890884399414,4.070742607116699,2.295387029647827,3.292745351791382,2.300077199935913,3.2274084091186523,3.5711967945098877,3.610541820526123,3.877380847930908,3.1509087085723877,3.22390079498291,3.917637348175049,2.2854840755462646,3.851288080215454,1.8899685144424438,1.4701943397521973,4.056886196136475,1.9526338577270508,3.1622562408447266,['Marsha'],Joyful,2,9,1,2,00:02:38.950,00:02:40.492
Hi.,2.969339609146118,3.294423818588257,3.7490103244781494,2.9296352863311768,3.596564531326294,3.501650810241699,2.3313498497009277,3.401918888092041,3.297075033187866,3.7453956604003906,3.0624372959136963,3.3685452938079834,3.1713039875030518,3.7298171520233154,2.4233667850494385,3.5426113605499268,2.7252113819122314,1.8227704763412476,4.1894049644470215,2.761441946029663,3.7169103622436523,['Ross Geller'],Neutral,2,12,1,2,00:02:40.702,00:02:43.078
So.,3.194383382797241,3.2120144367218018,3.5955166816711426,2.614579677581787,3.874750852584839,3.5851447582244873,2.421233892440796,3.2691986560821533,3.32796573638916,3.6639652252197266,2.8285939693450928,3.4026436805725098,2.9971933364868164,3.748918056488037,2.4550328254699707,3.435553789138794,2.9760379791259766,1.9751250743865967,4.221065998077393,2.966789484024048,3.801499366760254,['Carol Willick'],Neutral,2,13,1,2,00:02:57.969,00:02:59.761
"You look great. I, uh... I hate that.",2.755901336669922,3.639277458190918,4.042585849761963,2.6279067993164062,3.677116632461548,3.242440938949585,2.2717037200927734,3.82605242729187,2.784759521484375,3.7390689849853516,2.934223175048828,3.0981481075286865,3.5427536964416504,3.260579824447632,2.3572945594787598,3.635356903076172,2.6684932708740234,1.608288049697876,3.776096820831299,2.9924423694610596,3.526099920272827,['Ross Geller'],Scared,2,14,1,2,00:03:06.936,00:03:17.362
Sorry. You look good too.,2.71768856048584,3.59157395362854,3.8876872062683105,4.009236812591553,2.364368200302124,3.1087679862976074,2.110384941101074,3.6568145751953125,3.2301762104034424,3.674374580383301,3.8238134384155273,3.055293560028076,3.5107457637786865,3.6159543991088867,2.0806264877319336,3.9251952171325684,1.8912205696105957,1.3697725534439087,3.802527666091919,2.0041303634643555,2.9904072284698486,['Carol Willick'],Joyful,2,15,1,2,00:03:09.355,00:03:13.066
"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",2.5433597564697266,3.9674389362335205,4.153131484985352,2.716542959213257,3.4888081550598145,2.784940719604492,2.3494746685028076,3.3743607997894287,3.0898892879486084,3.8149590492248535,2.984959125518799,2.864159107208252,3.3795456886291504,3.551687002182007,2.460749387741089,3.6519155502319336,2.4104220867156982,1.601785659790039,3.470285177230835,2.7666964530944824,3.1583735942840576,['Ross Geller'],Joyful,2,16,1,2,00:03:17.572,00:03:28.624
A lesbian?,3.866518974304199,2.6013684272766113,2.672788619995117,1.7706347703933716,4.209742069244385,3.122284412384033,2.283897638320923,1.8765875101089478,4.545475006103516,2.9586782455444336,2.0031728744506836,3.440913438796997,2.2155468463897705,4.459473609924316,2.2198870182037354,3.09268856048584,3.7868716716766357,2.7233774662017822,3.896254301071167,3.2017953395843506,3.5953421592712402,['Carol Willick'],Neutral,2,17,1,2,00:03:22.076,00:03:23.327
"Well... you never know. How's, um.. how's the family?",2.565620183944702,3.8743350505828857,4.200804233551025,3.1891748905181885,3.0897912979125977,3.0224740505218506,2.172907829284668,3.4488718509674072,3.1713063716888428,3.8304717540740967,3.338637113571167,2.948347568511963,3.4081830978393555,3.592301368713379,2.3430678844451904,3.7507190704345703,2.2409183979034424,1.543902039527893,3.652233839035034,2.417080879211426,3.1446335315704346,['Ross Geller'],Peaceful,2,18,1,2,00:03:26.748,00:03:32.961
"Marty's still totally paranoid. Oh, and, uh-",3.4113547801971436,3.2453651428222656,3.402486801147461,1.6121686697006226,4.512662410736084,3.007830858230591,2.26403546333313,2.505174398422241,3.9282312393188477,3.3632073402404785,1.9901849031448364,3.203756809234619,2.6652262210845947,3.991968870162964,2.3641579151153564,3.194423198699951,3.6982369422912598,2.4448697566986084,3.7276523113250732,3.446061611175537,3.600382089614868,['Carol Willick'],Mad,2,19,1,2,00:03:33.171,00:03:37.799
"Why- why are you here, Carol?",3.431596279144287,3.241791009902954,3.540294647216797,2.349398612976074,4.001681327819824,3.4361135959625244,2.591984987258911,3.0043587684631348,3.4229447841644287,3.5366926193237305,2.77304744720459,3.391165256500244,2.960336923599243,3.7887279987335205,2.6551215648651123,3.466836452484131,2.9515042304992676,1.8899065256118774,3.945380449295044,3.1677210330963135,3.649402141571045,['Ross Geller'],Scared,2,20,1,2,00:03:35.715,00:03:41.094
I'm pregnant.,3.3619911670684814,2.0318403244018555,2.7782680988311768,3.381829023361206,2.7037553787231445,4.49770975112915,2.7705178260803223,3.5055251121520996,2.6239266395568848,3.1977427005767822,3.5042853355407715,3.7435293197631836,2.7318758964538574,3.158945322036743,2.798027753829956,3.4164464473724365,2.0044641494750977,1.2686936855316162,4.525932788848877,2.423485279083252,4.096038341522217,['Carol Willick'],Neutral,2,21,1,2,00:03:38.009,00:03:41.094
Pregnant?!,3.7451088428497314,2.115894079208374,2.442565679550171,4.200869560241699,1.8289233446121216,4.063229084014893,2.7867488861083984,2.5672202110290527,3.5928449630737305,2.97396183013916,3.828692674636841,3.725522756576538,2.2929110527038574,3.9052927494049072,2.787775754928589,3.523130178451538,1.5702842473983765,1.112328290939331,4.266629219055176,1.7837722301483154,3.394150733947754,['Ross Geller'],Scared,2,22,1,2,00:03:42.513,00:03:45.224
"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",3.5616109371185303,3.1148462295532227,3.454481601715088,2.383699655532837,4.121443748474121,3.1336190700531006,3.1787707805633545,3.0065431594848633,2.981109380722046,3.340531349182129,2.568434476852417,3.5672943592071533,2.9003944396972656,3.2624008655548096,3.1087844371795654,3.5072882175445557,2.610623598098755,1.7158102989196777,3.9283506870269775,3.1725778579711914,3.5979111194610596,['Ross Geller'],Neutral,6,1,1,2,00:14:09.014,00:14:41.546
Hi.,2.969339609146118,3.294423818588257,3.7490103244781494,2.9296352863311768,3.596564531326294,3.501650810241699,2.3313498497009277,3.401918888092041,3.297075033187866,3.7453956604003906,3.0624372959136963,3.3685452938079834,3.1713039875030518,3.7298171520233154,2.4233667850494385,3.5426113605499268,2.7252113819122314,1.8227704763412476,4.1894049644470215,2.761441946029663,3.7169103622436523,['Susan Bunch'],Neutral,6,3,1,2,00:14:16.730,00:14:18.398
"Ross, you remember Susan.",3.414726734161377,3.126979112625122,3.2719192504882812,3.292550802230835,3.1320338249206543,3.3619349002838135,2.42478346824646,2.4351346492767334,4.221188068389893,3.4897513389587402,3.1714589595794678,3.347994804382324,2.6334855556488037,4.468045234680176,2.4442498683929443,3.537838935852051,2.645359992980957,1.8998825550079346,4.108628749847412,2.4177966117858887,3.480419635772705,['Carol Willick'],Neutral,6,4,1,2,00:14:35.624,00:14:37.876
How could I forget?,2.797844648361206,3.608844518661499,4.021586894989014,3.213733673095703,3.1730499267578125,3.313682794570923,2.242723226547241,3.8501322269439697,2.970839500427246,3.766796112060547,3.3340015411376953,3.1508278846740723,3.4698750972747803,3.3729281425476074,2.3270375728607178,3.732943534851074,2.3687877655029297,1.5437809228897095,3.934401750564575,2.5692453384399414,3.38445782661438,['Ross Geller'],Mad,6,5,1,2,00:14:38.085,00:14:41.546
Ross.,3.2000768184661865,3.3639628887176514,3.5855212211608887,2.5907819271087646,3.9327328205108643,3.284158229827881,2.2964954376220703,2.8245174884796143,3.7827303409576416,3.6658618450164795,2.709381341934204,3.295590877532959,2.8376784324645996,4.057669639587402,2.4081385135650635,3.404900074005127,3.1326169967651367,2.1092076301574707,4.019151210784912,2.9267871379852295,3.6285483837127686,['Susan Bunch'],Neutral,6,6,1,2,00:14:42.631,00:14:44.173
"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?",3.0901341438293457,3.4748051166534424,3.72784161567688,2.89106822013855,3.519033908843994,3.2673399448394775,2.531172037124634,2.963106632232666,3.55202317237854,3.7013607025146484,3.112964630126953,3.2777132987976074,2.989871025085449,3.9782426357269287,2.566777229309082,3.6059999465942383,2.5569448471069336,1.7677156925201416,3.9252567291259766,2.757146120071411,3.5543251037597656,['Ross Geller'],Neutral,6,7,1,2,00:14:48.095,00:14:56.728
Dr. Oberman.,3.1928141117095947,3.2313232421875,3.5020086765289307,2.6241681575775146,3.7947652339935303,3.3648109436035156,2.4894003868103027,2.753465414047241,3.6629157066345215,3.6295409202575684,2.805905818939209,3.3234705924987793,2.7493441104888916,4.0382795333862305,2.606367349624634,3.489096164703369,3.019558906555176,1.9629900455474854,4.161291599273682,2.8190999031066895,3.6351122856140137,['Carol Willick'],Neutral,6,8,1,2,00:14:49.471,00:14:52.098
..Dr. Oberman. Okay. And is he-,3.3384511470794678,3.1194372177124023,3.2951691150665283,2.565833806991577,3.7212157249450684,3.3559906482696533,2.6735098361968994,2.5365474224090576,3.798609972000122,3.4973108768463135,2.8374125957489014,3.3699026107788086,2.6551246643066406,4.113384246826172,2.7193031311035156,3.4651594161987305,3.003540515899658,1.9963147640228271,4.159084796905518,2.8697643280029297,3.6274569034576416,['Ross Geller'],Neutral,6,9,1,2,00:14:56.937,00:14:59.230
She.,3.137453556060791,3.27897572517395,3.607412576675415,2.58516526222229,3.8398566246032715,3.4242146015167236,2.449939727783203,3.0185701847076416,3.5740036964416504,3.6191182136535645,2.7907662391662598,3.343146800994873,2.9750912189483643,3.8829941749572754,2.4565694332122803,3.486485004425049,3.01222562789917,2.0509698390960693,4.089210033416748,3.0121748447418213,3.717233419418335,['Susan Bunch'],Neutral,6,10,1,2,00:14:59.440,00:15:01.983
"-she, of course, she- uh- familiar with our.. special situation?",3.09112286567688,3.061882734298706,3.1321046352386475,4.6403069496154785,1.4541288614273071,3.2273802757263184,2.176912546157837,2.828749895095825,4.040849208831787,3.2333457469940186,4.141286849975586,3.1838607788085938,2.93892502784729,4.3324785232543945,1.996711015701294,3.839599370956421,1.449418306350708,1.312779188156128,3.8826749324798584,1.4008901119232178,2.827965259552002,['Ross Geller'],Neutral,6,11,1,2,00:15:02.776,00:15:09.240
"Yes, and she's very supportive.",2.7976346015930176,3.1741738319396973,3.579709529876709,4.195930480957031,2.1292529106140137,3.5152652263641357,2.0825185775756836,3.3895931243896484,3.658238649368286,3.591881275177002,3.9384584426879883,3.248347759246826,3.289287567138672,3.9907116889953613,1.960226058959961,3.795109272003174,1.8399361371994019,1.426662564277649,4.041860580444336,1.832432746887207,3.3236701488494873,['Carol Willick'],Neutral,6,12,1,2,00:15:07.406,00:15:09.240
"Okay, that's great. No, I'm- Oh.",3.2569713592529297,3.1971218585968018,3.5371644496917725,2.9754605293273926,3.414144515991211,3.641397714614868,2.734088659286499,3.229063034057617,3.183866024017334,3.5414466857910156,3.1936991214752197,3.480607509613037,3.02352237701416,3.610964775085449,2.7630257606506348,3.649792432785034,2.4706614017486572,1.5997726917266846,4.166701793670654,2.76495099067688,3.70011043548584,['Ross Geller'],Neutral,6,13,1,2,00:15:09.450,00:15:14.704
Thanks.,3.24975323677063,3.1785054206848145,3.52958083152771,2.8188586235046387,3.727008581161499,3.5929534435272217,2.4640676975250244,3.1505942344665527,3.444356918334961,3.622671127319336,2.9622955322265625,3.4421136379241943,2.9816625118255615,3.8374123573303223,2.4907443523406982,3.4425735473632812,2.9191973209381104,1.8418262004852295,4.200728893280029,2.8573944568634033,3.7619576454162598,['Carol Willick'],Neutral,6,14,1,2,00:15:13.162,00:15:14.704
"Quack, quack..",3.3583121299743652,3.531280994415283,3.5872433185577393,1.41091787815094,4.548879146575928,2.130404233932495,2.6907386779785156,1.9793375730514526,3.6691431999206543,3.23860764503479,1.7446925640106201,2.9365901947021484,2.487518310546875,3.6460964679718018,2.9447762966156006,3.232008218765259,3.2785677909851074,2.3579208850860596,3.2872564792633057,3.434950113296509,3.126676559448242,['Ross Geller'],Joyful,6,15,1,2,00:15:15.706,00:15:17.165
Ross? That opens my cervix.,3.0908145904541016,2.981487512588501,3.4935073852539062,3.6355204582214355,2.827693223953247,3.684889316558838,2.563521146774292,3.4581642150878906,3.14056658744812,3.558546543121338,3.664252758026123,3.4957451820373535,3.1722605228424072,3.6102027893066406,2.595752000808716,3.736809730529785,1.9871044158935547,1.3204625844955444,4.296176433563232,2.337423324584961,3.6939454078674316,['Carol Willick'],Scared,6,16,1,2,00:15:31.680,00:15:35.099
Barry?,3.4270431995391846,3.351393461227417,3.4356508255004883,2.754209280014038,3.668525218963623,3.1354846954345703,2.6825969219207764,2.4397215843200684,3.972567319869995,3.5083441734313965,2.8086397647857666,3.3554527759552,2.722902774810791,4.195292949676514,2.674217700958252,3.531076431274414,2.879256248474121,2.0174412727355957,3.969109296798706,2.8373663425445557,3.415963888168335,['Rachel Green'],Neutral,7,1,1,2,00:15:33.098,00:15:35.099
C'mon in.,2.678523302078247,3.6181142330169678,3.9825966358184814,3.508406639099121,2.989659547805786,3.288160562515259,2.250819683074951,3.488287925720215,3.227476119995117,3.8467440605163574,3.507401704788208,3.1102232933044434,3.374753475189209,3.6499404907226562,2.3114447593688965,3.7185046672821045,2.1759796142578125,1.5835769176483154,3.9729888439178467,2.338123083114624,3.2898290157318115,['Barry Farber'],Neutral,7,2,1,2,00:15:35.309,00:15:38.937
Are you sure?,3.196139097213745,3.091203212738037,3.4690871238708496,2.587596893310547,3.7254273891448975,3.692951202392578,2.607937812805176,3.1907124519348145,3.223828077316284,3.5648486614227295,2.9795806407928467,3.4818906784057617,2.9718830585479736,3.698115825653076,2.658425807952881,3.480800151824951,2.8434879779815674,1.7092399597167969,4.232784748077393,2.9977409839630127,3.797402858734131,['Rachel Green'],Scared,7,3,1,2,00:15:37.311,00:15:38.937
"Yeah! It's fine, it's fine. Robbie's gonna be here for hours.",2.695556879043579,3.722715377807617,3.980402946472168,3.2406511306762695,3.056898832321167,2.8733770847320557,2.225741386413574,3.0349411964416504,3.7206172943115234,3.7901363372802734,3.3491199016571045,2.9814212322235107,3.1811280250549316,4.012905120849609,2.3370790481567383,3.712925910949707,2.281764268875122,1.6167209148406982,3.735055685043335,2.3892548084259033,3.1933677196502686,['Barry Farber'],Neutral,7,4,1,2,00:15:45.778,00:15:52.116
Huh?!,3.7342565059661865,3.044341802597046,3.1506481170654297,2.0555930137634277,4.19728422164917,3.108557939529419,2.6046504974365234,2.3917856216430664,3.9955756664276123,3.224675178527832,2.2508926391601562,3.409493923187256,2.548906087875366,4.126194953918457,2.649665355682373,3.3261680603027344,3.5043485164642334,2.4046778678894043,3.9694039821624756,3.2158374786376953,3.5199897289276123,['Robbie'],Scared,7,5,1,2,00:15:48.489,00:15:49.447
"So, how ya doin?",1.7019165754318237,3.7683746814727783,4.399754047393799,3.6222145557403564,2.2606258392333984,3.1030991077423096,1.7304775714874268,4.540750026702881,1.7986358404159546,3.868925094604492,3.7241861820220947,2.650799512863159,3.890859365463257,2.42340087890625,1.9051014184951782,3.751922607421875,1.5379154682159424,1.0233670473098755,3.5919482707977295,1.8567618131637573,2.8616929054260254,['Barry Farber'],Peaceful,7,6,1,2,00:15:49.657,00:15:52.116
I'm- uh- I'm okay... You look great!,3.3348186016082764,2.6110942363739014,3.1659185886383057,3.4189114570617676,2.8085479736328125,4.183964729309082,2.883171319961548,3.6382851600646973,2.3325910568237305,3.283841848373413,3.4881350994110107,3.5712568759918213,3.0514068603515625,3.046815872192383,2.885861873626709,3.598963737487793,1.8491201400756836,1.157429575920105,4.235774517059326,2.469386577606201,3.8019590377807617,['Rachel Green'],Sad,7,7,1,2,00:15:56.705,00:16:03.753
"Yeah, well..",3.1210763454437256,3.616536855697632,3.760986566543579,2.196830987930298,4.060060977935791,2.959331512451172,2.2750637531280518,2.8840620517730713,3.7745394706726074,3.577887535095215,2.4652082920074463,3.048206329345703,2.897646188735962,3.964428186416626,2.4008758068084717,3.4674229621887207,3.2464702129364014,2.1808059215545654,3.7156553268432617,3.1887216567993164,3.4106311798095703,['Barry Farber'],Neutral,7,8,1,2,00:15:59.583,00:16:03.753
"Dr. Farber, Jason Greenstein's gagging.",4.119598388671875,2.2961175441741943,2.3568153381347656,1.1328140497207642,4.6876044273376465,2.8791632652282715,2.6400985717773438,1.3376953601837158,4.203890800476074,2.7324397563934326,1.293005108833313,3.3889360427856445,1.8033541440963745,4.107853889465332,2.6957271099090576,2.7954795360565186,3.900139331817627,2.793689727783203,3.8642773628234863,3.454580545425415,3.5449163913726807,['Bernice'],Neutral,7,9,1,2,00:16:01.919,00:16:05.797
Be right there. Be back in a sec.,2.416761875152588,3.776799201965332,4.142709732055664,3.079451560974121,3.2493438720703125,3.030794858932495,2.4578781127929688,3.6230926513671875,2.6588358879089355,3.9032411575317383,3.3421199321746826,3.0072875022888184,3.4887354373931885,3.1629810333251953,2.521043300628662,3.721789598464966,2.0724141597747803,1.3674266338348389,3.7667691707611084,2.4623892307281494,3.3561906814575195,['Barry Farber'],Neutral,7,10,1,2,00:16:10.844,00:16:13.596
I dumped him.,3.377645969390869,2.659696578979492,3.2055983543395996,1.7700809240341187,4.394340991973877,3.868914842605591,2.225933313369751,3.626075506210327,3.0143277645111084,3.317380905151367,2.3271710872650146,3.489276170730591,3.0905683040618896,3.3116049766540527,1.978548288345337,3.167072296142578,3.3688838481903076,2.094705581665039,4.0542426109313965,3.574188709259033,4.041538238525391,['Rachel Green'],Sad,7,12,1,2,00:16:18.686,00:16:20.186
Okay.,3.0960805416107178,3.352083206176758,3.70230770111084,2.757962942123413,3.7484524250030518,3.5003206729888916,2.3668055534362793,3.175466537475586,3.440899610519409,3.7225241661071777,2.922781467437744,3.302438259124756,2.9776978492736816,3.843254804611206,2.490079164505005,3.475057601928711,2.864987850189209,1.887105941772461,4.152709007263184,2.870107412338257,3.7004668712615967,['Robbie'],Neutral,7,13,1,2,00:16:21.522,00:16:22.814
Give me a 'for instance'.,2.4495749473571777,3.9762206077575684,4.130352020263672,2.944791316986084,3.2920920848846436,2.7938976287841797,2.014673948287964,3.2584285736083984,3.470566749572754,3.8701987266540527,3.12227725982666,2.8705084323883057,3.352520227432251,3.8371925354003906,2.117371082305908,3.646949529647827,2.5760622024536133,1.7496675252914429,3.680757761001587,2.5448856353759766,3.146723508834839,['Carol Willick'],Mad,8,2,1,2,00:16:31.365,00:16:42.125
"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",2.8246612548828125,3.1919658184051514,3.7397875785827637,3.325085163116455,2.9994566440582275,3.7190988063812256,2.2866525650024414,3.6857261657714844,3.1530508995056152,3.7548305988311768,3.5817019939422607,3.354079246520996,3.4133858680725098,3.579373359680176,2.2862462997436523,3.713728189468384,2.2601864337921143,1.4687013626098633,4.114449501037598,2.4424314498901367,3.6296231746673584,['Ross Geller'],Scared,8,3,1,2,00:16:47.423,00:16:53.136
