Sr No.,Utterance,suddenness,familiarity,predict_event,pleasantness,unpleasantness,goal_relevance,chance_responsblt,self_responsblt,other_responsblt,predict_conseq,goal_support,urgency,self_control,other_control,chance_control,accept_conseq,standards,social_norms,attention,not_consider,effort,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
11,No don’t I beg of you!,3.145885705947876,3.3822624683380127,3.7394490242004395,2.0434489250183105,4.144044399261475,3.415473461151123,2.53892183303833,3.278015375137329,3.0425665378570557,3.64237642288208,2.576319694519043,3.264040231704712,3.1366281509399414,3.491562604904175,2.6203503608703613,3.3702163696289062,3.043268918991089,1.8657279014587402,3.825176954269409,3.3351402282714844,3.6480002403259277,Chandler,fear,negative,0,10,8,21,"00:17:02,856","00:17:04,858"
12,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",2.7248237133026123,2.8578248023986816,3.4299514293670654,4.2336530685424805,1.8939238786697388,3.9505093097686768,1.9569803476333618,3.8595285415649414,3.150158405303955,3.5335092544555664,4.112765789031982,3.153089761734009,3.201028347015381,3.7256975173950195,2.017498731613159,3.732896089553833,1.6693875789642334,1.2574583292007446,4.276673793792725,1.6912481784820557,3.4130301475524902,The Interviewer,neutral,neutral,0,11,8,21,"00:17:05,025","00:17:13,324"
13,Really?!,3.648327350616455,3.0728509426116943,3.075748920440674,1.859659194946289,4.168935298919678,2.8432626724243164,2.1713955402374268,1.9634889364242554,4.437577247619629,3.1197714805603027,2.055022954940796,3.160388231277466,2.355962038040161,4.4290690422058105,2.291273832321167,3.2946677207946777,3.745388984680176,2.73451828956604,3.704037666320801,3.1405484676361084,3.3318381309509277,Chandler,surprise,positive,0,12,8,21,"00:17:13,491","00:17:16,536"
14,Absolutely.  You can relax,2.124297857284546,3.8647305965423584,4.323363780975342,3.6587791442871094,2.532911777496338,2.9936177730560303,1.9569798707962036,3.9960384368896484,2.613262176513672,3.849789619445801,3.743535280227661,2.8284177780151367,3.693955898284912,3.100816011428833,2.1267073154449463,3.8526902198791504,1.7914544343948364,1.305371880531311,3.7406647205352783,2.0811305046081543,3.064476251602173,The Interviewer,neutral,neutral,0,13,8,21,"00:17:17,579","00:17:20,707"
15,But then who? The waitress I went out with last month?,3.5150599479675293,3.281886339187622,3.1450648307800293,2.511824369430542,3.5813581943511963,2.905555486679077,2.1047780513763428,2.351245641708374,4.579470634460449,3.26975417137146,2.6318047046661377,3.2030484676361084,2.6871275901794434,4.6274943351745605,2.003080368041992,3.469909906387329,3.2874197959899902,2.3166511058807373,3.6190707683563232,2.9283530712127686,3.236497402191162,Joey,surprise,negative,1,0,9,23,"00:36:40,364","00:36:42,824"
16,You know? Forget it!,2.25766921043396,3.8540103435516357,4.354734897613525,2.1969096660614014,3.802905559539795,2.970884084701538,2.085756540298462,4.24688720703125,2.0208637714385986,3.8227670192718506,2.6986968517303467,2.7636728286743164,3.764603614807129,2.5163962841033936,2.1615982055664062,3.4765262603759766,2.559241533279419,1.5710844993591309,3.4351327419281006,3.0258753299713135,3.239243745803833,Rachel,sadness,negative,1,1,9,23,"00:36:44,368","00:36:46,578"
17,"No-no-no-no, no! Who, who were you talking about?",3.7349743843078613,3.042489528656006,3.1790213584899902,2.0093154907226562,4.209310531616211,3.075331449508667,2.5133583545684814,2.4042534828186035,4.1355180740356445,3.200390577316284,2.2667124271392822,3.505574941635132,2.6985297203063965,4.200993537902832,2.471250295639038,3.2618155479431152,3.491257667541504,2.41681170463562,3.8726301193237305,3.2087514400482178,3.587965488433838,Joey,surprise,negative,1,2,9,23,"00:36:44,368","00:36:49,122"
18,"No, I-I-I-I don't, I actually don't know",2.5735929012298584,3.761237382888794,4.134957790374756,2.218691349029541,3.904020309448242,3.0694379806518555,2.3788859844207764,3.791306972503662,2.4875428676605225,3.748617649078369,2.7402737140655518,2.966845750808716,3.542675256729126,2.989046096801758,2.470045328140259,3.547883987426758,2.628276824951172,1.5324809551239014,3.5549838542938232,3.1159749031066895,3.406330108642578,Rachel,fear,negative,1,3,9,23,"00:36:49,290","00:36:51,791"
19,Ok!,2.68861985206604,3.3859517574310303,3.893888473510742,3.211075782775879,3.171294689178467,3.5626018047332764,2.1882588863372803,3.701756000518799,3.0528416633605957,3.8262386322021484,3.3927230834960938,3.2489664554595947,3.3182196617126465,3.578012466430664,2.281726121902466,3.6109914779663086,2.3796486854553223,1.5798876285552979,4.187669277191162,2.554527759552002,3.6253793239593506,Joey,neutral,neutral,1,4,9,23,"00:36:52,376","00:36:53,543"
20,"All right, well...",2.6486966609954834,3.7839977741241455,4.162331581115723,2.708282232284546,3.5711865425109863,3.171393871307373,2.2605979442596436,3.464062213897705,3.070849895477295,3.8376429080963135,3.0493369102478027,2.998694896697998,3.3215062618255615,3.5041861534118652,2.428959608078003,3.5659728050231934,2.6259729862213135,1.6893645524978638,3.813833475112915,2.8306262493133545,3.4522602558135986,Joey,neutral,neutral,1,5,9,23,"00:36:53,545","00:36:55,000"
23,"Yeah, sure!",2.8044018745422363,3.569916009902954,3.805885076522827,3.8662326335906982,2.495223045349121,3.1135072708129883,2.1200504302978516,3.1356728076934814,3.756298065185547,3.645998239517212,3.657588005065918,2.9768624305725098,3.23488450050354,4.141579627990723,2.112847089767456,3.7689428329467773,2.0747668743133545,1.5642094612121582,3.892009973526001,2.049391269683838,3.0904784202575684,Rachel,neutral,neutral,1,8,9,23,"0:36:59,425","0:37:01,439"
24,"Hey, Mon.",2.49080228805542,3.7430708408355713,4.244177341461182,3.1795859336853027,3.146667242050171,3.0964765548706055,2.1734933853149414,3.6536974906921387,2.9036900997161865,3.9210093021392822,3.34334397315979,3.0131795406341553,3.494112491607666,3.357692003250122,2.333374500274658,3.725167751312256,2.267155170440674,1.513688564300537,3.8390848636627197,2.447782278060913,3.256157398223877,Chandler,neutral,neutral,2,0,3,6,"00:05:50,350","00:05:51,433"
25,Hey-hey-hey. You wanna hear something that sucks.,2.762230157852173,3.7697150707244873,4.069855690002441,2.4720687866210938,3.861875534057617,3.006002187728882,2.28620982170105,3.2744650840759277,3.2954351902008057,3.8286004066467285,2.777413845062256,3.022345542907715,3.220379114151001,3.593823194503784,2.4145681858062744,3.5949366092681885,2.7620882987976074,1.8314074277877808,3.6535160541534424,2.9158642292022705,3.420118570327759,Monica,neutral,neutral,2,1,3,6,"0:05:52,435","0:05:53,897"
26,Do I ever.,2.555333137512207,3.452432632446289,3.98161244392395,3.5075087547302246,2.854438543319702,3.558966636657715,2.1234629154205322,3.9099912643432617,2.9245450496673584,3.8093857765197754,3.6090621948242188,3.1818337440490723,3.5489847660064697,3.3468778133392334,2.1034371852874756,3.720240831375122,2.216315507888794,1.4647353887557983,3.993713140487671,2.3934457302093506,3.4800024032592773,Chandler,joy,positive,2,2,3,6,"0:05:53,897","0:05:55,743"
27,Chris says they’re closing down the bar.,3.8809094429016113,2.7890167236328125,2.9158029556274414,1.7380387783050537,4.364628314971924,3.2464280128479004,2.766108989715576,1.6761401891708374,4.0464253425598145,3.132133722305298,1.9793028831481934,3.3605008125305176,2.067617416381836,4.171604633331299,2.903592586517334,3.006150007247925,3.3950889110565186,2.3565680980682373,3.891450881958008,3.324153184890747,3.721250295639038,Monica,sadness,negative,2,3,3,6,"0:05:57,023","0:05:58,734"
28,No way!,3.3760766983032227,3.1821799278259277,3.4899816513061523,2.38761043548584,3.906804323196411,3.499150276184082,2.4417073726654053,2.9725260734558105,3.6417572498321533,3.4850196838378906,2.7175769805908203,3.3711321353912354,2.8984947204589844,3.944993257522583,2.5308995246887207,3.385298490524292,3.1371898651123047,2.117860794067383,4.055801868438721,3.127474308013916,3.728375196456909,Chandler,surprise,negative,2,4,3,6,"0:05:58,734","0:05:59,774"
29,"Yeah, apparently they’re turning it into some kinda coffee place.",3.8413901329040527,2.7801246643066406,2.728663206100464,2.007927179336548,3.8538923263549805,2.667186737060547,2.1513161659240723,1.3631963729858398,4.777447700500488,2.958940029144287,2.0293548107147217,3.136240005493164,1.9742740392684937,4.660876274108887,2.2959272861480713,3.1986083984375,3.548163890838623,2.753981113433838,3.6416847705841064,3.0121235847473145,3.227463722229004,Monica,neutral,neutral,2,5,3,6,"00:05:59,942","00:06:02,152"
30,Just coffee! Where are we gonna hang out now?,2.0795557498931885,3.938230276107788,4.0779500007629395,4.33772087097168,1.579554796218872,2.583204746246338,1.7126672267913818,3.6860389709472656,3.128992795944214,3.679565191268921,4.1165971755981445,2.6701714992523193,3.7030489444732666,3.445317029953003,1.7034130096435547,3.999504566192627,1.316973328590393,1.1221052408218384,3.3761146068573,1.463315725326538,2.4692351818084717,Chandler,disgust,negative,2,6,3,6,"00:06:02,362","00:06:07,157"
31,Got me.,2.845527410507202,3.111363172531128,3.558417558670044,4.021574020385742,2.3220419883728027,3.6004445552825928,2.2021119594573975,3.8594937324523926,3.008450508117676,3.550769090652466,3.893054485321045,3.2918953895568848,3.5666987895965576,3.454845666885376,2.0325944423675537,3.895602226257324,1.886164903640747,1.3024340867996216,4.089623928070068,2.097066879272461,3.3187739849090576,Monica,sadness,negative,2,7,3,6,"00:06:04,489","00:06:07,157"
32,Can I get a beer.,2.4615442752838135,3.7575604915618896,4.03377103805542,3.988473653793335,2.2465312480926514,2.9613571166992188,2.053410768508911,3.5499355792999268,3.224801540374756,3.7950620651245117,3.8893330097198486,2.8959779739379883,3.5661942958831787,3.586226224899292,2.073132276535034,3.9453213214874268,1.7268998622894287,1.3200113773345947,3.664512872695923,1.9315773248672485,2.8469324111938477,Chandler,neutral,neutral,2,8,3,6,"0:06:07,367","0:06:08,035"
33,"Hey, did you pick a roommate?",2.9699525833129883,3.318976402282715,3.689770221710205,3.5437560081481934,2.771192789077759,3.4886810779571533,2.0712931156158447,3.5029757022857666,3.7280945777893066,3.647423028945923,3.5322091579437256,3.248872995376587,3.249721050262451,3.9696691036224365,2.0002779960632324,3.7885890007019043,2.35456919670105,1.6564421653747559,3.931368589401245,2.35007643699646,3.332077741622925,Monica,neutral,neutral,2,9,3,6,"0:06:08,035","0:06:10,019"
34,You betcha!,2.784126043319702,3.2143096923828125,3.704874277114868,3.7230191230773926,2.6537909507751465,3.7308740615844727,2.144782304763794,3.760707378387451,3.11269474029541,3.648660182952881,3.7269866466522217,3.2528152465820312,3.421750783920288,3.632005214691162,2.1378726959228516,3.728294849395752,2.1236793994903564,1.4912035465240479,4.207808971405029,2.272836685180664,3.5501694679260254,Chandler,joy,positive,2,10,3,6,"0:06:10,161","0:06:10,973"
35,Is it the Italian guy?,3.981494426727295,2.761610984802246,2.649020195007324,1.84221613407135,4.132331371307373,2.7533674240112305,2.3702075481414795,1.4767855405807495,4.746854305267334,2.8583645820617676,1.9073684215545654,3.355651617050171,2.0630738735198975,4.61893367767334,2.369940996170044,3.0799548625946045,3.6954445838928223,2.7322499752044678,3.660860300064087,3.0891199111938477,3.2880361080169678,Monica,neutral,neutral,2,11,3,6,"0:06:10,973","0:06:12,167"
36,"Um-mm, yeah right!",3.2442002296447754,3.5087528228759766,3.6302311420440674,2.0592586994171143,4.154573917388916,2.8928606510162354,2.1880152225494385,2.6134862899780273,3.9831902980804443,3.4775502681732178,2.369520664215088,3.094308853149414,2.8430464267730713,4.154781341552734,2.2977797985076904,3.4019389152526855,3.4217722415924072,2.331422805786133,3.662553071975708,3.208397626876831,3.4053945541381836,Chandler,joy,positive,2,12,3,6,"00:06:12,288","00:06:13,497"
37,"Oh my God, oh my God! Poor Monica!",4.38325834274292,2.008823871612549,2.2301559448242188,1.4096118211746216,4.610286712646484,3.2027997970581055,3.7486953735351562,1.396910548210144,3.1036932468414307,2.5300941467285156,1.5298326015472412,3.7620644569396973,1.597713589668274,3.3236656188964844,3.8388936519622803,2.518289089202881,2.8434805870056152,2.026944875717163,4.10008430480957,3.3507606983184814,3.863288640975952,Phoebe,surprise,negative,3,0,3,12,"00:10:16,115","00:10:18,450"
38,"What, what, what?!",3.9289820194244385,2.7271034717559814,3.0253894329071045,1.8043272495269775,4.405201435089111,3.278069257736206,2.845266103744507,2.473592758178711,3.7292802333831787,3.1374664306640625,2.161543607711792,3.5757534503936768,2.5100135803222656,3.877826452255249,2.836212158203125,3.186351776123047,3.4551589488983154,2.3536462783813477,4.013592720031738,3.3772292137145996,3.7278366088867188,Chandler,surprise,negative,3,1,3,12,"0:10:18,618","0:10:19,750"
39,What?!,3.7724735736846924,2.9301235675811768,3.0774576663970947,2.0684473514556885,4.142064094543457,3.2421441078186035,2.5530712604522705,2.4364776611328125,4.020867824554443,3.214291572570801,2.316690444946289,3.4353346824645996,2.5441341400146484,4.172872543334961,2.5860066413879395,3.3427250385284424,3.5306239128112793,2.4483869075775146,3.9840171337127686,3.204988479614258,3.5926427841186523,Phoebe,surprise,negative,3,2,3,12,"0:10:19,750","0:10:20,966"
40,He was with her when he wrote this poem.,3.1383769512176514,2.906862258911133,3.103929042816162,4.759349822998047,1.4035850763320923,3.246297597885132,1.944914698600769,3.0536794662475586,3.975743293762207,3.2264950275421143,4.186748504638672,3.2502076625823975,2.9856231212615967,4.090183734893799,1.8256982564926147,3.9460723400115967,1.4345601797103882,1.2278026342391968,3.908452033996582,1.4008533954620361,2.8510639667510986,Phoebe,neutral,neutral,3,3,3,12,"00:10:21,078","00:10:23,496"
41,"Look,  'My vessel so empty with nothing inside.",2.7666094303131104,3.4486258029937744,3.9405717849731445,1.2598915100097656,4.599419116973877,3.0097408294677734,2.4458096027374268,3.9469594955444336,1.8484364748001099,3.494258403778076,1.8970471620559692,2.8983991146087646,3.4081192016601562,2.1721694469451904,2.4716856479644775,3.170623302459717,3.0012929439544678,1.7014652490615845,3.321255922317505,3.711707830429077,3.3803601264953613,Phoebe,neutral,neutral,3,4,3,12,"00:10:23,664","00:10:26,499"
42,"Now that I've touched you, you seem emptier still.'",2.5274903774261475,3.7518346309661865,4.098632335662842,3.113903522491455,3.1722347736358643,3.170440196990967,2.133739709854126,3.895508289337158,2.9282116889953613,3.8075673580169678,3.4015493392944336,3.028245210647583,3.572962760925293,3.357659339904785,2.236082077026367,3.7174389362335205,2.268235445022583,1.5267376899719238,3.81243896484375,2.6503756046295166,3.4043469429016113,Phoebe,neutral,neutral,3,5,3,12,"00:10:26,667","00:10:29,586"
43,"He thinks Monica is empty, she is the empty vase!",3.6755688190460205,2.9754436016082764,2.951125383377075,1.3569612503051758,4.644514083862305,2.8585362434387207,2.0337517261505127,2.143301486968994,4.317176818847656,3.092456340789795,1.7300676107406616,3.3017051219940186,2.45953106880188,4.203433990478516,1.97423255443573,3.0143814086914062,3.9842844009399414,2.7715320587158203,3.657892942428589,3.486382007598877,3.5390231609344482,Phoebe,surprise,negative,3,6,3,12,"00:10:29,754","00:10:32,672"
45,"Oh, totally. Oh, God, oh, she seemed so happy too.",3.316176652908325,2.97208571434021,3.0133345127105713,4.786839962005615,1.346807599067688,3.0916249752044678,2.166687488555908,2.605590581893921,4.134289264678955,3.0726656913757324,4.106922626495361,3.2206811904907227,2.7280330657958984,4.246342182159424,2.1137142181396484,3.8842523097991943,1.3670828342437744,1.2238235473632812,3.8024439811706543,1.3581175804138184,2.6274309158325195,Phoebe,sadness,negative,3,8,3,12,"00:10:36,385","00:10:39,137"
46,Done.,2.7875869274139404,3.156202793121338,3.7431671619415283,3.1302690505981445,3.333951473236084,3.767047166824341,2.220942974090576,3.881303310394287,2.8095662593841553,3.781710147857666,3.264403820037842,3.367328405380249,3.3554530143737793,3.380441904067993,2.234584331512451,3.5615053176879883,2.5086781978607178,1.6068168878555298,4.242051124572754,2.666045904159546,3.7852721214294434,Joey,neutral,neutral,3,9,3,12,"00:10:39,680","00:10:41,181"
47,Hey!,2.974724531173706,3.338761806488037,3.7909955978393555,3.3988101482391357,3.0165584087371826,3.426764488220215,2.3338871002197266,3.486133337020874,3.3770906925201416,3.692338228225708,3.4713335037231445,3.3214023113250732,3.358863592147827,3.797567129135132,2.3410122394561768,3.7306642532348633,2.3348138332366943,1.648704171180725,4.077473163604736,2.484619140625,3.4483559131622314,Rachel,surprise,positive,4,0,3,11,"0:20:23,931","0:20:24,891"
48,Hi!,2.8688223361968994,3.2064616680145264,3.736604928970337,3.390246868133545,3.024542808532715,3.5859262943267822,2.297865152359009,3.5813591480255127,3.191617727279663,3.7248470783233643,3.457710027694702,3.3632752895355225,3.33259916305542,3.698802947998047,2.279393434524536,3.675884962081909,2.313945770263672,1.5861172676086426,4.228067874908447,2.451537847518921,3.5893959999084473,Ross,joy,positive,4,1,3,11,"0:20:24,891","0:20:25,028"
49,What are you doing here?,3.764590263366699,2.9025328159332275,2.890486478805542,1.7067745923995972,4.194307327270508,2.72654390335083,2.0174925327301025,1.8403955698013306,4.6471428871154785,2.98073673248291,2.0076558589935303,3.3066976070404053,2.3632025718688965,4.520984649658203,2.0890607833862305,3.169275999069214,3.8594348430633545,2.8404290676116943,3.6399612426757812,3.1688339710235596,3.345662832260132,Rachel,surprise,positive,4,2,3,11,"00:20:25,140","00:20:26,265"
50,"Ah y'know, this building is on my paper route so I...",1.9513986110687256,4.198862075805664,4.531748294830322,2.820283889770508,3.09431529045105,2.392719268798828,2.062300443649292,3.871265172958374,2.4193575382232666,3.904578447341919,3.1644036769866943,2.6177384853363037,3.7754530906677246,2.8766345977783203,2.149153709411621,3.660109519958496,2.0099871158599854,1.3781403303146362,3.239309549331665,2.4227421283721924,2.7983806133270264,Ross,neutral,neutral,4,3,3,11,"00:20:26,433","00:20:29,185"
51,Oh.,3.4133718013763428,3.015183448791504,3.385532855987549,2.452399969100952,3.989382028579712,3.646545171737671,2.7094674110412598,3.071580171585083,3.314415216445923,3.489903688430786,2.6801254749298096,3.5103673934936523,2.8662633895874023,3.6640756130218506,2.7388486862182617,3.4080636501312256,3.0172557830810547,1.9439284801483154,4.259324550628662,3.1451756954193115,3.850213050842285,Rachel,neutral,neutral,4,4,3,11,"0:20:29,394","0:20:30,771"
52,Hi.,2.969339609146118,3.294423818588257,3.7490103244781494,2.9296352863311768,3.596564531326294,3.501650810241699,2.3313498497009277,3.401918888092041,3.297075033187866,3.7453956604003906,3.0624372959136963,3.3685452938079834,3.1713039875030518,3.7298171520233154,2.4233667850494385,3.5426113605499268,2.7252113819122314,1.8227704763412476,4.1894049644470215,2.761441946029663,3.7169103622436523,Ross,neutral,neutral,4,5,3,11,"0:20:30,771","0:20:30,873"
53,Hi.,2.969339609146118,3.294423818588257,3.7490103244781494,2.9296352863311768,3.596564531326294,3.501650810241699,2.3313498497009277,3.401918888092041,3.297075033187866,3.7453956604003906,3.0624372959136963,3.3685452938079834,3.1713039875030518,3.7298171520233154,2.4233667850494385,3.5426113605499268,2.7252113819122314,1.8227704763412476,4.1894049644470215,2.761441946029663,3.7169103622436523,Rachel,neutral,neutral,4,6,3,11,"0:20:30,873","0:20:31,135"
54,How’d did it go?,2.1044087409973145,3.6004221439361572,4.241914749145508,3.552321434020996,2.5644736289978027,3.3597030639648438,1.8714287281036377,4.339327812194824,2.416888475418091,3.8901102542877197,3.732051134109497,2.917806386947632,3.7368838787078857,2.938039779663086,2.05336594581604,3.7402565479278564,1.8693357706069946,1.207395315170288,3.8622896671295166,2.1045451164245605,3.219479560852051,Ross,neutral,neutral,4,7,3,11,"00:20:31,188","00:20:32,230"
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",2.872117757797241,2.7224414348602295,3.3385679721832275,3.9728503227233887,2.3089423179626465,4.076112270355225,2.068317174911499,3.942249059677124,3.127945899963379,3.5110745429992676,3.9085679054260254,3.355565071105957,3.378225803375244,3.637995481491089,2.009140968322754,3.7288718223571777,1.8682414293289185,1.3170838356018066,4.272993564605713,1.9830174446105957,3.630650043487549,Rachel,joy,positive,4,8,3,11,"00:20:32,397","00:20:40,446"
56,I’m so proud of you.,2.86324405670166,2.974900007247925,3.5047149658203125,4.341622829437256,1.9395647048950195,3.652789831161499,2.0961508750915527,3.480034828186035,3.4428491592407227,3.4690465927124023,4.031984329223633,3.345909833908081,3.100123167037964,3.764204502105713,2.188239097595215,3.8282957077026367,1.6569736003875732,1.1869479417800903,4.240385055541992,1.739007830619812,3.3327343463897705,Ross,joy,positive,4,9,3,11,"0:20:40,614","0:20:41,991"
57,Me too!,3.1383557319641113,3.4293932914733887,3.7040226459503174,3.575073003768921,2.92566180229187,3.4248015880584717,2.379058837890625,3.2841641902923584,3.5440642833709717,3.5641798973083496,3.4663619995117188,3.3279850482940674,3.148725748062134,3.8543717861175537,2.361485004425049,3.7139978408813477,2.3119072914123535,1.6275365352630615,4.079364776611328,2.4742543697357178,3.408186674118042,Rachel,joy,positive,4,10,3,11,"0:20:41,991","0:20:43,543"
58,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",2.977407217025757,3.16654372215271,3.6822426319122314,3.031024932861328,3.322113037109375,3.784710645675659,2.157918691635132,4.025771141052246,3.0697951316833496,3.6191816329956055,3.3200504779815674,3.381380558013916,3.52252197265625,3.4612603187561035,2.0470359325408936,3.6304829120635986,2.5259511470794678,1.6427979469299316,3.998196601867676,2.739372491836548,3.67852783203125,Ross,sadness,negative,4,11,3,11,"00:20:44,284","00:20:53,584"
59,I know.,2.9282004833221436,3.401492118835449,3.8679821491241455,2.817401885986328,3.692291736602783,3.5483274459838867,2.3162245750427246,3.577399253845215,3.062549591064453,3.782468557357788,3.026433229446411,3.2838454246520996,3.2589378356933594,3.512235403060913,2.4046640396118164,3.5498902797698975,2.773717164993286,1.7762563228607178,4.1028056144714355,2.8826351165771484,3.6592438220977783,Rachel,neutral,neutral,4,12,3,11,"00:20:53,752","00:20:54,794"
60,Yeah.,3.1945064067840576,3.191438913345337,3.571686267852783,2.8060555458068848,3.6933512687683105,3.5951058864593506,2.419386625289917,3.2098121643066406,3.47910737991333,3.647132396697998,2.9479775428771973,3.4169399738311768,3.008352041244507,3.8535070419311523,2.4428298473358154,3.5103955268859863,2.913973093032837,1.9173023700714111,4.20244836807251,2.8896193504333496,3.771855592727661,Ross,neutral,neutral,4,13,3,11,"0:20:54,962","0:20:55,380"
61,Yeah.,3.1945064067840576,3.191438913345337,3.571686267852783,2.8060555458068848,3.6933512687683105,3.5951058864593506,2.419386625289917,3.2098121643066406,3.47910737991333,3.647132396697998,2.9479775428771973,3.4169399738311768,3.008352041244507,3.8535070419311523,2.4428298473358154,3.5103955268859863,2.913973093032837,1.9173023700714111,4.20244836807251,2.8896193504333496,3.771855592727661,Rachel,neutral,neutral,4,14,3,11,"0:20:55,380","0:20:56,057"
